,GroupId,SubgroupId,id,Departure,Arrival,Entrance,CheckinSum,nSubgroups,SubgroupSize,GroupSize,Thrill,Kiddie,Everybody,Pavilion,Beer Garden,Food,Shopping,Restroom,Lawn,Info,Arcade,First Aid,Stage,Show Hall,Thrill Time,Kiddie Time,Everybody Time,Pavilion Time,Beer Garden Time,Food Time,Shopping Time,Restroom Time,Lawn Time,Info Time,Arcade Time,First Aid Time,Stage Time,Show Hall Time,Entrance Time,Park Time
14,12,15,672552,2014-06-06 13:14:45,2014-06-06 08:01:05,1,381,1,1,1,11,0,3,0,0,0,2,2,0,0,0,0,0,0,2.6119444444444446,0.0,0.3047222222222222,0.0,0.0,0.0,0.9230555555555555,0.3047222222222222,0.0,0,0.0,0.0,0.0,0.0,0.010277777777777778,5.2175
15,13,16,741411,2014-06-06 20:30:54,2014-06-06 08:01:07,1,728,1,2,2,16,1,4,3,3,0,8,2,0,0,0,0,1,1,2.0147222222222223,0.10027777777777777,0.5469444444444445,0.5263888888888889,1.3302777777777777,0.0,2.6891666666666665,0.32583333333333336,0.0,0,0.0,0.0,1.1183333333333332,0.5633333333333332,0.010277777777777778,12.48611111111111
16,14,17,515271,2014-06-06 20:39:09,2014-06-06 08:01:10,1,546,2,2,5,8,3,5,1,0,1,9,2,1,0,0,0,0,1,1.4888888888888887,0.35472222222222227,0.5525,0.28305555555555556,0.0,0.4197222222222222,3.7824999999999998,0.37027777777777776,0.31666666666666665,0,0.0,0.0,0.0,0.9902777777777777,0.012222222222222221,12.620833333333334
17,14,18,84322,2014-06-06 22:37:20,2014-06-06 08:01:10,3,900,2,3,5,15,8,6,1,0,1,2,5,3,0,1,0,0,0,1.62,0.7530555555555555,0.8180555555555556,0.32749999999999996,0.0,1.0005555555555554,0.6019444444444445,1.2130555555555556,1.1772222222222224,0,0.4716666666666667,0.0,0.0,0.0,2.436388888888889,12.16638888888889
18,15,19,1313613,2014-06-06 22:15:10,2014-06-06 08:01:15,1,480,2,3,7,17,1,6,0,3,1,8,3,1,0,0,0,0,0,1.7638888888888888,0.10305555555555555,1.3533333333333333,0.0,1.534722222222222,0.7922222222222222,3.3725,0.6016666666666667,0.3175,0,0.0,0.0,0.0,0.0,0.01388888888888889,14.218055555555555
19,15,20,1495961,2014-06-06 22:19:57,2014-06-06 08:01:15,1,1056,2,4,7,23,0,6,2,0,3,3,2,3,0,1,0,1,1,2.5036111111111112,0.0,0.7033333333333334,0.5877777777777777,0.0,2.0325,0.9469444444444445,0.5219444444444444,1.1580555555555556,0,0.17694444444444446,0.0,1.346111111111111,0.5252777777777777,0.012777777777777779,14.29888888888889
20,16,21,398504,2014-06-06 21:46:15,2014-06-06 08:01:17,1,337,1,2,2,6,3,3,0,0,1,16,2,0,0,1,0,0,0,0.5405555555555555,0.2588888888888889,0.6005555555555555,0.0,0.0,0.5549999999999999,6.794444444444445,0.2388888888888889,0.0,0,0.49638888888888894,0.0,0.0,0.0,0.015000000000000001,13.734444444444444
21,17,22,91182,2014-06-06 20:24:36,2014-06-06 08:01:18,1,605,1,5,5,11,5,4,2,0,0,7,4,2,0,0,0,0,0,1.9269444444444443,0.5472222222222223,0.5341666666666666,0.8327777777777778,0.0,0.0,2.1102777777777777,0.8780555555555555,0.6225,0,0.0,0.0,0.0,0.0,0.0175,12.370833333333332
22,18,23,1836139,2014-06-06 20:47:09,2014-06-06 08:01:29,1,467,1,4,4,7,2,4,0,4,3,4,2,0,0,1,0,1,1,0.6230555555555556,0.15333333333333332,0.8113888888888888,0.0,2.0680555555555555,2.4780555555555557,1.0280555555555555,0.3541666666666667,0.0,0,0.21638888888888888,0.0,1.3677777777777778,0.7086111111111111,0.009722222222222222,12.751388888888888
23,19,24,1709971,2014-06-06 21:29:14,2014-06-06 08:01:30,1,289,1,2,2,5,4,3,1,0,4,11,2,0,0,1,0,0,0,0.7830555555555556,0.3761111111111111,0.3472222222222222,0.28777777777777774,0.0,1.8369444444444445,4.0697222222222225,0.3738888888888889,0.0,0,0.33,0.0,0.0,0.0,0.01388888888888889,13.448333333333332
24,20,25,352086,2014-06-06 21:33:15,2014-06-06 08:01:35,1,419,1,4,4,8,4,3,1,0,5,5,1,1,0,1,0,0,1,1.0933333333333333,0.6813888888888889,0.8552777777777778,0.47333333333333333,0.0,2.4677777777777776,1.8191666666666668,0.27416666666666667,0.2755555555555556,0,0.11888888888888889,0.0,0.0,0.7280555555555555,0.013333333333333334,13.514444444444443
25,21,26,1156815,2014-06-06 20:30:53,2014-06-06 08:01:49,1,382,1,3,3,14,1,1,1,0,2,9,2,0,0,0,0,0,1,1.47,0.07444444444444445,0.1325,0.19277777777777777,0.0,0.5563888888888889,3.6508333333333334,0.41888888888888887,0.0,0,0.0,0.0,0.0,0.9700000000000001,0.014722222222222222,12.469722222222224
26,22,27,1428652,2014-06-06 20:26:56,2014-06-06 08:01:57,1,597,1,4,4,5,2,3,5,0,3,4,3,1,0,1,0,1,0,1.2802777777777776,0.2477777777777778,0.24055555555555555,1.7736111111111112,0.0,1.1569444444444446,1.6041666666666667,0.5427777777777778,0.18166666666666667,0,0.23277777777777778,0.0,1.3202777777777779,0.0,0.011944444444444445,12.404444444444445
27,23,28,117066,2014-06-06 21:50:14,2014-06-06 08:02:05,1,355,1,4,4,7,0,6,0,5,0,9,2,1,0,1,0,0,0,0.3927777777777778,0.0,0.7047222222222221,0.0,3.5147222222222223,0.0,4.282222222222222,0.4255555555555556,0.41944444444444445,0,0.5955555555555556,0.0,0.0,0.0,0.011944444444444445,13.790555555555557
28,24,29,705880,2014-06-06 22:33:43,2014-06-06 08:02:13,1,479,1,3,3,8,4,3,2,0,1,16,2,1,0,2,0,0,0,0.9091666666666666,0.3675,0.6144444444444445,1.0833333333333333,0.0,0.19333333333333333,4.871666666666667,0.47555555555555556,0.39305555555555555,0,0.8286111111111112,0.0,0.0,0.0,0.010277777777777778,14.514722222222222
29,25,30,677612,2014-06-06 22:17:18,2014-06-06 08:02:25,1,398,1,3,3,3,0,1,0,1,1,12,2,1,0,1,1,1,1,0.3838888888888889,0.0,0.1947222222222222,0.0,0.5269444444444444,0.9191666666666667,5.516944444444444,0.22444444444444445,0.6086111111111111,0,0.46111111111111114,0.5222222222222223,1.2177777777777776,0.8486111111111111,0.01111111111111111,14.236944444444445
30,26,31,349848,2014-06-06 21:35:28,2014-06-06 08:02:28,1,428,1,2,2,10,3,1,0,3,3,6,2,0,0,0,0,1,1,1.0322222222222222,0.22777777777777777,0.12583333333333332,0.0,1.734722222222222,2.0330555555555554,2.6652777777777774,0.47694444444444445,0.0,0,0.0,0.0,1.3433333333333333,0.6191666666666666,0.01,13.540000000000001
31,27,32,1882651,2014-06-06 22:14:42,2014-06-06 08:02:31,1,448,1,4,4,3,5,3,0,3,1,11,2,1,0,1,0,0,2,0.4116666666666667,0.9636111111111112,0.2838888888888889,0.0,1.597222222222222,0.9280555555555555,4.236111111111111,0.40694444444444444,0.26166666666666666,0,0.23194444444444443,0.0,0.0,1.6291666666666667,0.013333333333333334,14.18972222222222
32,28,33,121980,2014-06-06 22:45:38,2014-06-06 08:02:53,1,938,1,2,2,35,0,5,0,0,3,2,2,2,0,0,0,0,2,5.016666666666667,0.0,0.9716666666666666,0.0,0.0,2.336388888888889,0.6069444444444444,0.4216666666666667,0.6497222222222222,0,0.0,0.0,0.0,1.6569444444444446,0.009722222222222222,14.702777777777778
33,29,34,1779722,2014-06-06 20:13:38,2014-06-06 08:02:56,1,474,1,2,2,9,3,3,0,5,3,5,0,1,0,0,0,1,0,0.6538888888888889,0.275,0.30083333333333334,0.0,2.583055555555555,2.073055555555556,1.456111111111111,0.0,0.3641666666666667,0,0.0,0.0,1.2097222222222221,0.0,0.010833333333333334,12.1675
34,30,35,41879,2014-06-06 20:43:04,2014-06-06 08:03:01,1,746,1,4,4,8,7,2,1,0,1,8,1,1,0,1,0,1,1,0.861111111111111,1.1694444444444445,0.23083333333333333,0.36916666666666664,0.0,0.31666666666666665,2.925277777777778,0.2013888888888889,0.3119444444444444,0,0.5511111111111112,0.0,1.2130555555555556,0.88,0.0125,12.655
35,31,36,1591840,2014-06-06 20:34:13,2014-06-06 08:03:05,1,545,1,2,2,7,2,6,3,3,4,1,2,0,0,0,0,1,0,0.5772222222222222,0.49472222222222223,0.6755555555555556,1.3283333333333334,2.3152777777777778,2.6394444444444445,0.2513888888888889,0.36916666666666664,0.0,0,0.0,0.0,0.8216666666666667,0.0,0.0125,12.506388888888889
36,32,37,1257239,2014-06-06 22:30:19,2014-06-06 08:03:10,1,915,1,3,3,42,0,6,1,0,1,5,4,1,0,0,0,1,0,4.993888888888889,0.0,0.6544444444444444,0.5252777777777777,0.0,0.515,1.5225,0.7466666666666666,0.3013888888888889,0,0.0,0.0,1.3041666666666667,0.0,0.010277777777777778,14.44222222222222
37,33,38,1910777,2014-06-06 21:12:38,2014-06-06 08:03:16,1,447,2,1,4,7,2,6,0,2,4,7,0,1,0,2,0,0,0,1.133888888888889,0.5213888888888889,0.7127777777777777,0.0,1.0605555555555555,2.7041666666666666,2.359166666666667,0.0,0.4255555555555556,0,0.6669444444444445,0.0,0.0,0.0,0.013055555555555555,13.143055555555556
38,33,39,399477,2014-06-06 21:12:38,2014-06-06 08:03:16,1,452,2,3,4,7,2,6,0,2,4,7,0,1,0,2,0,0,0,1.1330555555555555,0.5211111111111111,0.7127777777777777,0.0,1.0605555555555555,2.7047222222222222,2.3597222222222225,0.0,0.4255555555555556,0,0.6666666666666666,0.0,0.0,0.0,0.012777777777777779,13.143333333333333
39,34,40,277883,2014-06-06 21:35:11,2014-06-06 08:03:24,1,563,1,4,4,5,2,8,0,0,3,4,1,3,0,2,0,0,0,1.281388888888889,0.22194444444444444,0.8450000000000001,0.0,0.0,2.3461111111111115,1.3802777777777777,0.2338888888888889,1.1544444444444444,0,1.041111111111111,0.0,0.0,0.0,0.013333333333333334,13.516388888888889
40,35,41,614566,2014-06-06 21:41:31,2014-06-06 08:03:35,1,624,1,4,4,7,1,6,2,3,0,8,0,2,0,2,0,1,0,0.7311111111111112,0.07555555555555556,0.8819444444444444,0.8674999999999999,1.6991666666666667,0.0,3.737222222222222,0.0,0.6922222222222222,0,0.365,0.0,1.1719444444444445,0.0,0.011944444444444445,13.620277777777778
41,36,42,1671980,2014-06-06 22:34:50,2014-06-06 08:03:49,1,400,1,4,4,4,2,4,0,0,3,10,2,2,0,1,0,0,0,0.6408333333333334,0.175,0.41111111111111115,0.0,0.0,1.585,5.355555555555555,0.2961111111111111,0.5191666666666667,0,0.16166666666666665,0.0,0.0,0.0,0.014444444444444446,14.5025
42,37,43,1156155,2014-06-06 20:12:36,2014-06-06 08:03:57,1,567,1,2,2,5,3,1,1,4,1,6,0,0,0,0,0,0,3,0.4791666666666667,0.37861111111111106,0.11416666666666667,0.10222222222222223,3.2083333333333335,0.745,2.738611111111111,0.0,0.0,0,0.0,0.0,0.0,2.5380555555555557,0.008888888888888889,12.135277777777778
43,38,44,175741,2014-06-06 21:33:46,2014-06-06 08:04:02,1,484,1,3,3,10,4,0,0,0,1,12,1,1,0,1,1,0,0,0.9822222222222222,0.39222222222222225,0.0,0.0,0.0,0.25972222222222224,5.834444444444444,0.20638888888888887,0.38861111111111113,0,0.24222222222222223,0.4213888888888889,0.0,0.0,0.01583333333333333,13.479722222222223
44,39,45,1107890,2014-06-06 21:14:01,2014-06-06 08:04:03,1,541,1,4,4,12,3,4,1,0,1,4,4,1,0,0,0,1,0,2.6302777777777777,0.3827777777777778,0.3491666666666667,0.17027777777777778,0.0,0.8088888888888889,2.076388888888889,0.8177777777777778,0.5869444444444445,0,0.0,0.0,1.1152777777777778,0.0,0.01388888888888889,13.152222222222223
45,40,46,1478594,2014-06-06 21:11:58,2014-06-06 08:04:04,1,446,1,2,2,9,3,6,0,0,1,7,0,1,0,2,0,0,0,1.0369444444444444,0.6955555555555556,1.2486111111111111,0.0,0.0,0.8727777777777778,3.087777777777778,0.0,0.12305555555555556,0,1.2283333333333333,0.0,0.0,0.0,0.013055555555555555,13.118611111111111
46,41,47,605020,2014-06-06 20:09:39,2014-06-06 08:04:08,1,741,1,3,3,11,5,2,1,0,1,7,1,1,0,0,0,0,1,1.5744444444444445,0.43777777777777777,0.30666666666666664,0.4222222222222222,0.0,0.7088888888888889,3.352222222222222,0.10777777777777778,0.26305555555555554,0,0.0,0.0,0.0,0.5311111111111111,0.011666666666666665,12.080277777777777
47,42,48,306076,2014-06-06 20:35:41,2014-06-06 08:04:18,1,406,1,4,4,6,4,2,1,5,0,5,1,1,0,1,0,1,0,0.4513888888888889,0.35444444444444445,0.16555555555555557,0.45944444444444443,3.7422222222222223,0.0,1.9580555555555557,0.08527777777777777,0.16555555555555557,0,0.24305555555555555,0.0,1.2533333333333334,0.0,0.0125,12.510555555555555
48,43,49,1201599,2014-06-06 21:32:27,2014-06-06 08:04:20,1,626,1,2,2,11,4,2,1,2,0,5,0,1,0,0,0,1,2,1.9091666666666667,0.9297222222222222,0.19972222222222222,0.3725,1.6013888888888888,0.0,2.517777777777778,0.0,0.5313888888888889,0,0.0,0.0,1.4316666666666669,1.818888888888889,0.010833333333333334,13.457777777777777
49,44,50,1058644,2014-06-06 22:38:37,2014-06-06 08:04:20,1,610,1,4,4,8,5,3,2,0,0,10,2,2,0,0,0,1,0,1.4697222222222224,1.0669444444444445,0.7988888888888889,0.3755555555555556,0.0,0.0,3.6869444444444444,0.405,0.8691666666666666,0,0.0,0.0,1.3191666666666668,0.0,0.013055555555555555,14.558333333333334
50,45,51,668484,2014-06-06 22:36:16,2014-06-06 08:04:27,1,880,2,2,5,34,0,7,1,0,2,4,2,2,0,0,0,0,1,4.415555555555556,0.0,0.7338888888888888,0.15277777777777776,0.0,1.4102777777777777,1.1783333333333335,0.8122222222222223,0.6733333333333333,0,0.0,0.0,0.0,0.6308333333333334,0.009166666666666667,14.52111111111111
51,45,52,331284,2014-06-06 22:32:16,2014-06-06 08:04:27,1,1158,2,3,5,45,0,2,1,0,1,3,4,6,0,0,0,0,0,5.3308333333333335,0.0,0.12666666666666665,0.2452777777777778,0.0,0.8597222222222223,0.9575,0.6777777777777777,1.5752777777777778,0,0.0,0.0,0.0,0.0,0.0125,14.451111111111112
52,46,53,328117,2014-06-06 22:42:05,2014-06-06 08:04:33,1,304,1,4,4,5,4,0,0,7,0,8,1,2,0,4,0,0,0,1.1280555555555556,0.4036111111111111,0.0,0.0,3.8883333333333336,0.0,3.435,0.4386111111111111,0.6408333333333334,0,1.6119444444444444,0.0,0.0,0.0,0.0125,14.613055555555556
53,47,54,2050303,2014-06-06 22:47:50,2014-06-06 08:04:44,1,285,2,4,7,6,1,2,3,0,4,9,2,0,0,2,0,0,0,1.1122222222222222,0.07305555555555557,0.2477777777777778,0.8588888888888888,0.0,3.588888888888889,3.7441666666666666,0.26805555555555555,0.0,0,1.1580555555555556,0.0,0.0,0.0,0.01388888888888889,14.704444444444444
54,47,55,1174886,2014-06-06 22:34:22,2014-06-06 08:04:44,1,728,2,3,7,12,7,10,1,0,0,10,2,0,0,2,0,0,0,1.356388888888889,0.6519444444444444,1.9744444444444444,0.5616666666666668,0.0,0.0,3.2675,0.47027777777777774,0.0,0,1.2297222222222222,0.0,0.0,0.0,0.009722222222222222,14.484166666666665
55,48,56,639466,2014-06-06 22:10:47,2014-06-06 08:04:47,1,629,1,4,4,11,7,1,0,4,1,10,1,0,0,2,0,0,2,0.9769444444444445,1.2327777777777778,0.06444444444444444,0.0,2.0930555555555554,0.19916666666666666,3.045,0.10972222222222222,0.0,0,0.3891666666666667,0.0,0.0,1.8513888888888888,0.012222222222222221,14.087777777777777
56,49,57,1209830,2014-06-06 21:36:43,2014-06-06 08:04:48,1,730,1,2,2,5,6,6,1,4,2,7,0,3,0,0,0,0,1,1.5888888888888888,0.635,0.7708333333333334,0.2841666666666667,2.427222222222222,0.3777777777777778,2.4175,0.0,0.6958333333333333,0,0.0,0.0,0.0,0.9536111111111112,0.011944444444444445,13.52
57,50,58,868222,2014-06-06 22:35:14,2014-06-06 08:04:57,1,502,2,2,4,10,4,6,0,3,5,5,3,1,0,0,0,0,0,1.702777777777778,0.3588888888888889,0.6005555555555555,0.0,2.6155555555555554,3.8455555555555554,1.8130555555555554,0.5877777777777777,0.26611111111111113,0,0.0,0.0,0.0,0.0,0.008888888888888889,14.495833333333334
58,50,59,1596977,2014-06-06 22:31:23,2014-06-06 08:04:57,1,1072,2,2,4,33,0,9,1,0,0,4,2,3,0,1,0,0,1,4.219722222222222,0.0,1.5958333333333334,0.3413888888888889,0.0,0.0,1.6102777777777777,0.47305555555555556,1.0605555555555555,0,0.41555555555555557,0.0,0.0,0.41944444444444445,0.013055555555555555,14.4275
59,51,60,516163,2014-06-06 21:07:47,2014-06-06 08:05:27,1,832,1,2,2,16,2,3,0,5,1,5,2,4,0,0,0,0,0,1.481388888888889,0.20277777777777778,0.6894444444444444,0.0,2.286388888888889,0.31027777777777776,2.233055555555555,0.24000000000000002,1.848888888888889,0,0.0,0.0,0.0,0.0,0.009444444444444445,13.029444444444445
60,52,61,570267,2014-06-06 22:42:02,2014-06-06 08:05:27,1,553,1,3,3,9,2,5,0,0,0,10,4,1,0,1,1,0,1,1.6152777777777778,0.3377777777777778,0.6172222222222222,0.0,0.0,0.0,4.34638888888889,0.8369444444444445,0.5086111111111111,0,0.605,0.4683333333333334,0.0,0.8572222222222222,0.010555555555555556,14.599166666666667
61,53,62,2066972,2014-06-06 22:32:00,2014-06-06 08:05:31,1,522,1,4,4,6,6,4,2,2,1,15,3,1,0,1,0,0,1,0.38055555555555554,0.5041666666666667,0.4116666666666667,0.38999999999999996,0.8338888888888889,0.7338888888888888,4.865833333333333,0.43083333333333335,0.3194444444444445,0,0.62,0.0,0.0,0.961111111111111,0.01361111111111111,14.427777777777779
62,54,63,726680,2014-06-06 20:15:52,2014-06-06 08:05:31,1,301,2,3,8,6,2,1,0,3,5,1,0,0,0,0,0,1,1,0.4113888888888889,0.6161111111111112,0.14305555555555557,0.0,2.4880555555555555,3.0755555555555554,0.3661111111111111,0.0,0.0,0,0.0,0.0,1.2461111111111112,0.7658333333333334,0.0125,12.160000000000002
63,54,64,1261486,2014-06-06 20:09:23,2014-06-06 08:05:31,1,713,2,5,8,18,0,7,1,1,3,4,2,0,0,2,0,0,0,4.140555555555555,0.0,0.7622222222222222,0.36333333333333334,0.10583333333333332,1.5541666666666667,1.7486111111111111,0.2836111111111111,0.0,0,0.5541666666666667,0.0,0.0,0.0,0.011666666666666665,12.052777777777777
64,55,65,711301,2014-06-06 22:47:39,2014-06-06 08:05:38,1,343,2,3,5,6,1,2,1,2,2,8,2,1,0,1,0,1,0,1.5352777777777777,0.09972222222222223,0.2588888888888889,0.36000000000000004,2.0791666666666666,1.1608333333333334,3.3841666666666668,0.4738888888888889,0.3783333333333333,0,0.6066666666666667,0.0,1.21,0.0,0.01583333333333333,14.684444444444445
65,55,66,1381070,2014-06-06 22:44:14,2014-06-06 08:05:38,1,420,2,2,5,19,0,5,1,1,3,4,2,1,0,0,0,0,0,4.2075,0.0,0.9869444444444445,0.6188888888888889,1.1055555555555554,2.625277777777778,1.518611111111111,0.3511111111111111,0.5363888888888888,0,0.0,0.0,0.0,0.0,0.01,14.633333333333335
66,56,67,942816,2014-06-06 22:49:12,2014-06-06 08:05:39,1,491,1,2,2,4,4,2,0,3,2,7,6,1,0,0,0,1,1,1.7902777777777779,0.7652777777777777,0.21916666666666668,0.0,1.931111111111111,1.0208333333333333,3.4766666666666666,0.9394444444444444,0.4408333333333333,0,0.0,0.0,1.1280555555555556,0.19166666666666668,0.010555555555555556,14.715277777777777
67,57,68,990811,2014-06-06 21:23:38,2014-06-06 08:05:56,1,497,1,3,3,4,2,3,1,3,4,6,2,2,0,1,1,1,0,0.6702777777777779,0.24555555555555555,0.3186111111111111,0.28055555555555556,2.195,1.7980555555555557,2.4316666666666666,0.22972222222222222,0.7791666666666667,0,0.15055555555555555,0.38166666666666665,0.9780555555555555,0.0,0.01,13.285
68,58,69,96972,2014-06-06 21:43:12,2014-06-06 08:06:03,1,531,2,2,4,10,6,6,0,1,0,9,1,0,0,0,0,0,0,1.978611111111111,1.3425,1.097222222222222,0.0,0.3047222222222222,0.0,4.1725,0.2594444444444444,0.0,0,0.0,0.0,0.0,0.0,0.013055555555555555,13.606111111111112
69,58,70,1205461,2014-06-06 21:41:46,2014-06-06 08:06:03,1,686,2,2,4,22,0,11,2,0,1,5,6,0,0,1,0,1,0,3.4619444444444443,0.0,1.6488888888888888,0.6513888888888889,0.0,0.5080555555555556,1.7586111111111111,0.8538888888888889,0.0,0,0.5988888888888888,0.0,1.2927777777777778,0.0,0.011666666666666665,13.58361111111111
70,59,71,766528,2014-06-06 21:29:13,2014-06-06 08:06:07,1,625,1,2,2,9,2,2,0,7,0,3,2,1,0,1,0,1,2,0.8886111111111111,0.23277777777777778,0.2138888888888889,0.0,3.127222222222222,0.0,1.48,0.4113888888888889,0.41722222222222227,0,0.49638888888888894,0.0,1.2422222222222221,1.1919444444444445,0.011944444444444445,13.373055555555556
71,60,72,1322523,2014-06-06 21:45:01,2014-06-06 08:06:08,3,1135,1,6,6,15,6,5,3,0,1,0,5,3,0,0,0,0,2,1.6822222222222223,1.0444444444444445,0.43,0.9186111111111112,0.0,0.4602777777777778,0.0,0.8663888888888889,1.0969444444444443,0,0.0,0.0,0.0,1.5916666666666666,2.006111111111111,11.641944444444444
72,61,73,973062,2014-06-06 20:17:03,2014-06-06 08:06:16,5,670,1,4,4,12,8,6,1,0,0,4,2,0,0,2,0,0,0,1.8433333333333333,1.057222222222222,1.1608333333333334,0.17888888888888888,0.0,0.0,1.9855555555555557,0.2225,0.0,0,0.4261111111111111,0.0,0.0,0.0,1.1405555555555555,11.039166666666665
73,62,74,1197774,2014-06-06 22:28:02,2014-06-06 08:06:17,1,537,2,3,5,13,1,5,1,2,2,9,0,0,0,0,0,1,1,2.69,0.12027777777777778,0.45,0.33111111111111113,0.8363888888888888,0.9405555555555555,3.358055555555555,0.0,0.0,0,0.0,0.0,1.1091666666666666,0.8130555555555555,0.012222222222222221,14.350277777777778
